variant,lambda_per_node,M,Tp_us,best_q,n_eval_runs,mean_total_delay_us,ci95_total_delay_us,mean_queue_delay_us,ci95_queue_delay_us,mean_access_delay_us,ci95_access_delay_us,p95_total_delay_us_mean,completion_ratio_mean,stable_fraction,final_backlog_mean,mean_attempts,delay_identity_error_us
baseline,1,1,198,0.55,5,657.481427757472,39.4378258623159,0.995294117647059,1.95077647058824,656.486133639825,39.1657453272797,1187.1,1,1,0,1.00470588235294,0
batch_clear,1,1,198,0.6,5,629.550438079875,15.8791030977668,1.46117647058824,2.86390588235294,628.089261609287,15.5897021184314,1086.12,1,1,0,1.02,0
fast_first,1,1,198,0.5,5,493.695544891301,7.52336736013423,0.995294117647059,1.95077647058824,492.700250773653,6.18691114501107,584.01,1,1,0,1.00952515946137,0
unslotted,1,1,198,0.025,5,402.060627887574,5.54980999992947,0.550588235294118,1.07915294117647,401.51003965228,4.53541614501212,396,1,1,0,1.00711552090716,5.6843418860808e-14
baseline,1,2,396,0.55,5,860.765483593624,36.980457472763,1.46117647058824,2.86390588235294,859.304307123036,34.687653637712,1382.13,1,1,0,1.01411764705882,0
batch_clear,1,2,396,0.6,5,836.318480991795,30.3358231339328,1.46117647058824,2.86390588235294,834.857304521207,30.9091745287167,1284.57,1,1,0,1.00823529411765,1.13686837721616e-13
fast_first,1,2,396,0.5,5,697.723346755913,8.24368177506271,1.46117647058824,2.86390588235294,696.262170285325,5.86856347165927,801.72,1,1,0,1.00952515946137,1.13686837721616e-13
unslotted,1,2,396,0.025,5,608.379207363315,11.141864319741,1.01647058823529,1.99228235294118,607.36273677508,9.30146687981991,638.37,1,1,0,1.01652728561304,0
baseline,1,3,594,0.55,5,1052.28052792653,30.4255091257481,1.92705882352941,3.77703529411765,1050.353469103,29.3409185726924,1574.64,1,1,0,1.03316796598157,0
batch_clear,1,3,594,0.6,5,1030.67375639947,27.3779684839296,1.92705882352941,3.77703529411765,1028.74669757595,25.1121608524895,1554.48,1,1,0,1.0072856130404,2.27373675443232e-13
fast_first,1,3,594,0.5,5,907.375415098201,16.9549657660824,1.92705882352941,3.77703529411765,905.448356274672,13.3324663000917,1056.78,1,1,0,1.0236428065202,1.13686837721616e-13
unslotted,1,3,594,0.005,5,825.564741332818,30.2356108572023,1.48235294117647,2.90541176470588,824.082388391642,27.5377471823231,823.23,1,1,0,1.00711552090716,0
baseline,1,4,792,0.6,5,1247.5868257918,15.962165295436,2.39294117647059,4.69016470588235,1245.19388461533,14.4577353901512,1836.72,1,1,0,1.00941176470588,0
batch_clear,1,4,792,0.55,5,1260.44303794547,26.4731205765998,3.32470588235294,6.51642352941177,1257.11833206312,27.8544585485599,1802.79,1,1,0,1.01423104181432,2.27373675443232e-13
fast_first,1,4,792,0.5,5,1106.71071519102,13.1268043601543,2.39294117647059,4.69016470588235,1104.31777401455,8.86637994067111,1261.89,1,1,0,1.01423104181432,2.27373675443232e-13
unslotted,1,4,792,0.005,5,1034.95080733469,44.7085776791171,2.26588235294118,4.44112941176471,1032.68492498175,40.3661222781472,1121.49,1,1,0,1.0118214032601,2.27373675443232e-13
baseline,1,5,990,0.55,5,1488.24037718694,44.6869396979612,3.32470588235294,6.51642352941177,1484.91567130459,38.5838312053986,2204.55,1,1,0,1.02493267186393,2.27373675443232e-13
batch_clear,1,5,990,0.6,5,1447.10688157955,40.2765586243422,4.57411764705882,8.96527058823529,1442.53276393249,33.7068195973553,2045.16,1,1,0,0.997647058823529,2.27373675443232e-13
fast_first,1,5,990,0.5,5,1315.04251158368,20.6558246447611,2.85882352941176,5.60329411764706,1312.18368805427,15.3579423315958,1546.38,1,1,0,1.01893692416726,2.27373675443232e-13
unslotted,1,5,990,0.005,5,1235.1844534793,44.8052467735424,2.71058823529412,5.31275294117647,1232.473865244,39.605568457222,1387.35,1,1,0,1.01652728561304,2.27373675443232e-13
baseline,1,6,1188,0.6,5,1663.60692571321,32.6271402878936,5.97176470588235,11.7046588235294,1657.63516100733,31.9622958600578,2348.1,1,1,0,1.02352941176471,0
batch_clear,1,6,1188,0.55,5,1688.79157799008,29.4081307221652,5.50588235294118,10.7915294117647,1683.28569563714,24.2700307911399,2390.49,1,1,0,1.01187810063785,0
fast_first,1,6,1188,0.5,5,1524.80563327754,27.6203924158171,3.64235294117647,7.13901176470588,1521.16328033636,20.8276219077367,1830.24,1,1,0,1.01423104181432,0
